OBJECTID,SN_ID,WBenUse
630,05-1132,StockWatering
631,05-1132,Agricultural
632,05-1132,Domestic
633,05-1133,StockWatering
634,05-1133,Agricultural
635,05-1133,Domestic
636,05-1134,StockWatering
637,05-1134,Domestic
638,05-1134,Agricultural
639,05-1135,Domestic
640,05-1136,Other
641,05-1137,Other
642,05-1138,StockWatering
643,05-1138,Agricultural
644,05-1138,Domestic
645,05-1139,Other
646,05-114,Domestic
647,05-114,Agricultural
648,05-1140,Other
649,05-1141,Agricultural
650,05-1142,Domestic
651,05-1142,Agricultural
652,05-1142,StockWatering
653,05-1143,StockWatering
654,05-1143,Agricultural
655,05-1143,Domestic
656,05-1144,Domestic
657,05-1144,Agricultural
658,05-1144,StockWatering
659,05-1145,Agricultural
660,05-1145,Domestic
661,05-1145,StockWatering
662,05-1146,Other
663,05-1147,StockWatering
664,05-1147,Domestic
665,05-1147,Agricultural
666,05-1148,Domestic
667,05-1148,Agricultural
668,05-1148,StockWatering
669,05-1149,Other
670,05-115,Other
671,05-115,Domestic
672,05-1150,Domestic
673,05-1150,StockWatering
674,05-1150,Agricultural
675,05-1151,Domestic
676,05-1151,StockWatering
677,05-1151,Agricultural
678,05-1152,Other
679,05-1153,Domestic
680,05-1153,StockWatering
681,05-1153,Agricultural
682,05-1154,Agricultural
683,05-1154,StockWatering
684,05-1155,Agricultural
685,05-1155,Domestic
686,05-1155,StockWatering
687,05-1156,Municipal
688,05-1157,Other
689,05-1158,Domestic
690,05-1158,Agricultural
691,05-1159,Domestic
692,05-1159,StockWatering
693,05-1159,Agricultural
694,05-116,Other
695,05-116,Domestic
696,05-1160,StockWatering
697,05-1160,Agricultural
698,05-1160,Domestic
699,05-1161,StockWatering
700,05-1161,Domestic
701,05-1161,Agricultural
702,05-1162,Agricultural
703,05-1162,Domestic
704,05-1163,StockWatering
705,05-1163,Domestic
706,05-1163,Agricultural
707,05-1164,Domestic
708,05-1164,Agricultural
709,05-1164,StockWatering
710,05-1165,Agricultural
711,05-1165,StockWatering
712,05-1165,Domestic
713,05-1166,Other
714,05-1167,Agricultural
715,05-1167,Domestic
716,05-1167,StockWatering
717,05-1168,Domestic
718,05-1168,Agricultural
719,05-1168,StockWatering
720,05-1169,Domestic
721,05-1169,Agricultural
722,05-1169,StockWatering
723,05-117,Other
724,05-1170,Agricultural
725,05-1170,StockWatering
726,05-1170,Domestic
727,05-1171,StockWatering
728,05-1171,Agricultural
729,05-1171,Domestic
730,05-1172,StockWatering
731,05-1172,Agricultural
732,05-1172,Domestic
733,05-1173,Other
734,05-1174,StockWatering
735,05-1174,Agricultural
736,05-1174,Domestic
737,05-1175,Other
738,05-1176,Other
739,05-1177,Other
740,05-1178,Other
741,05-1179,Other
742,05-118,Other
743,05-118,Domestic
744,05-1180,StockWatering
745,05-1180,Agricultural
746,05-1180,Domestic
